accuracy;accuracy_balanced;alpha;brier_score;cons_alpha;distribution;dmu;ds;est_alpha;estimator;log_loss;mae;mean_poster;precision;random_state;recall;rmse;roc
0,9814;0,50061;0,01;0,16050999999999999;0,00632;laplace;1;1;0,46507;baseline_dedpul;0,51665;0,35026;0,35641;0,011359999999999999;2;0,01;0,39121999999999996;0,64588
0,99;0,5;0,01;0,01215;0,00632;laplace;1;1;0,0041;e1_en;0,13757;0,03085;0,03555;0,0;2;0,0;0,04987;0,64676
0,9899;0,49995;0,01;0,03791;0,00632;laplace;1;1;0,16069;e3_en;0,20764000000000002;0,15827;0,16454000000000002;0,0;2;0,0;0,1707;0,6464300000000001
0,9897;0,49985;0,01;0,07198;0,00632;laplace;1;1;0,24989;em_en;0,30804000000000004;0,24361999999999998;0,2499;0,0;2;0,0;0,25265;0,64632
0,9895;0,49975;0,01;0,010490000000000001;0,00632;laplace;1;1;-0,02193;dedpul_poster;0,23943000000000003;0,0058200000000000005;0,00633;0,0;2;0,0;0,0246;0,5962
0,9895;0,49975;0,01;0,010440000000000001;0,00632;laplace;1;1;-0,00047999999999999996;dedpul_GMM_poster;0,23106999999999997;0,0057799999999999995;0,00632;0,0;2;0,0;0,023780000000000003;0,59765
0,9897;0,49985;0,01;0,0102;0,00632;laplace;1;1;-0,0834;dedpul_hist_poster;0,14757;0,00601;0,00632;0,0;2;0,0;0,01877;0,61621
0,987;0,49848000000000003;0,01;0,01236;0,00632;laplace;1;1;-0,39825;dedpul_no_heur_poster;0,32413000000000003;0,00999;0,00632;0,0;2;0,0;0,04888;0,5273
0,9895;0,49975;0,01;0,01073;0,00632;laplace;1;1;0,00632;baseline_dedpul_poster;0,24236999999999997;0,01144;0,01197;0,0;2;0,0;0,02976;0,5958399999999999
0,99;0,5;0,01;0,01227;0,00632;laplace;1;1;0,00632;e1_en_poster;0,13851;0,032;0,03677;0,0;2;0,0;0,051089999999999997;0,64564
0,99;0,5;0,01;0,01227;0,00632;laplace;1;1;0,00632;e3_en_poster;0,13851;0,032;0,03677;0,0;2;0,0;0,051089999999999997;0,64564
0,99;0,5;0,01;0,01227;0,00632;laplace;1;1;0,00632;em_en_poster;0,13851;0,032;0,03677;0,0;2;0,0;0,051089999999999997;0,64564
;;0,01;;0,00632;laplace;1;1;-1e-05;tice_0;;;;;2;;;
;;0,01;;0,00632;laplace;1;1;0,0;tice_1;;;;;2;;;
;;0,01;;0,00632;laplace;1;1;1e-05;tice_2;;;;;2;;;
;;0,01;;0,00632;laplace;1;1;-1e-05;tice_3;;;;;2;;;
;;0,01;;0,00632;laplace;1;1;1e-05;tice_4;;;;;2;;;
;;0,01;;0,00632;laplace;1;1;-0,0;tice_5;;;;;2;;;
;;0,01;;0,00632;laplace;1;1;0,0083;tice_6;;;;;2;;;
;;0,01;;0,00632;laplace;1;1;0,03581;tice_7;;;;;2;;;
;;0,01;;0,00632;laplace;1;1;0,0784;tice_8;;;;;2;;;
;;0,01;;0,00632;laplace;1;1;0,10762999999999999;tice+ntc;;;;;2;;;
0,9734;0,49162;0,01;0,02167;0,00632;laplace;1;1;0,02363;dedpul;0,43183999999999995;0,025869999999999997;0,02364;0,0;3;0,0;0,10905999999999999;0,5476800000000001
0,9812;0,49556000000000006;0,01;0,019790000000000002;0,00632;laplace;1;1;0,01637;dedpul_GMM;0,44137;0,02275;0,01637;0,0;3;0,0;0,09981;0,48391000000000006
0,9865;0,49823;0,01;0,015009999999999999;0,00632;laplace;1;1;0,025889999999999996;dedpul_hist;0,2293;0,02487;0,025889999999999996;0,0;3;0,0;0,07297000000000001;0,57639
0,9668;0,48828;0,01;0,06192999999999999;0,00632;laplace;1;1;0,165;dedpul_no_heur;0,49638999999999994;0,18275;0,18811;0,0;3;0,0;0,23106;0,57309
0,9718;0,49081;0,01;0,03035;0,00632;laplace;1;1;0,16526;baseline_dedpul;0,41975;0,07292;0,07400000000000001;0,0;3;0,0;0,14514000000000002;0,5767899999999999
0,9873;0,49863999999999997;0,01;0,01481;0,00632;laplace;1;1;0,0;e1_en;0,20069;0,02839;0,0285;0,0;3;0,0;0,07174;0,57212
0,9865;0,49823;0,01;0,01898;0,00632;laplace;1;1;0,06482;e3_en;0,1223;0,06369;0,06898;0,0;3;0,0;0,09813999999999999;0,57299
0,9869;0,49843000000000004;0,01;0,01676;0,00632;laplace;1;1;0,039;em_en;0,14914000000000002;0,04421;0,047760000000000004;0,0;3;0,0;0,08523;0,58362
0,9832;0,49656999999999996;0,01;0,01672;0,00632;laplace;1;1;-50,0;dedpul_poster;0,52637;0,013130000000000001;0,0067599999999999995;0,0;3;0,0;0,08271;0,49656999999999996
0,9833;0,49662;0,01;0,01593;0,00632;laplace;1;1;-3,90625;dedpul_GMM_poster;0,42633000000000004;0,0127;0,00632;0,0;3;0,0;0,0778;0,49636
0,9865;0,49823;0,01;0,01257;0,00632;laplace;1;1;-0,20294;dedpul_hist_poster;0,38318;0,012709999999999999;0,00633;0,0;3;0,0;0,05198;0,48661000000000004
0,9802;0,49505;0,01;0,01958;0,00632;laplace;1;1;-50,0;dedpul_no_heur_poster;0,57473;0,016059999999999998;0,00968;0,0;3;0,0;0,09852000000000001;0,49505
0,9735;0,49167;0,01;0,02145;0,00632;laplace;1;1;0,00632;baseline_dedpul_poster;0,5099;0,024919999999999998;0,01965;0,0;3;0,0;0,10785;0,50041
0,9872;0,49859;0,01;0,01505;0,00632;laplace;1;1;0,00632;e1_en_poster;0,1844;0,03021;0,030969999999999998;0,0;3;0,0;0,07354;0,5819
0,9872;0,49859;0,01;0,01505;0,00632;laplace;1;1;0,00632;e3_en_poster;0,1844;0,03021;0,030969999999999998;0,0;3;0,0;0,07354;0,5819
0,9872;0,49859;0,01;0,01505;0,00632;laplace;1;1;0,00632;em_en_poster;0,1844;0,03021;0,030969999999999998;0,0;3;0,0;0,07354;0,5819
;;0,01;;0,00632;laplace;1;1;-2e-05;tice_0;;;;;3;;;
;;0,01;;0,00632;laplace;1;1;1e-05;tice_1;;;;;3;;;
;;0,01;;0,00632;laplace;1;1;1e-05;tice_2;;;;;3;;;
;;0,01;;0,00632;laplace;1;1;2,9999999999999997e-05;tice_3;;;;;3;;;
;;0,01;;0,00632;laplace;1;1;-0,0;tice_4;;;;;3;;;
;;0,01;;0,00632;laplace;1;1;0,0;tice_5;;;;;3;;;
;;0,01;;0,00632;laplace;1;1;1e-05;tice_6;;;;;3;;;
;;0,01;;0,00632;laplace;1;1;1e-05;tice_7;;;;;3;;;
;;0,01;;0,00632;laplace;1;1;1e-05;tice_8;;;;;3;;;
;;0,01;;0,00632;laplace;1;1;0,0047;tice+ntc;;;;;3;;;
0,9884;0,49918999999999997;0,01;0,01968;0,00632;laplace;1;1;0,05376;dedpul;0,28479;0,05355;0,05376;0,0;4;0,0;0,10064;0,54684
0,9886;0,49928999999999996;0,01;0,01576;0,00632;laplace;1;1;0,02316;dedpul_GMM;0,32025;0,027000000000000003;0,02316;0,0;4;0,0;0,07789;0,53562
0,9896;0,4998;0,01;0,0104;0,00632;laplace;1;1;0,0004;dedpul_hist;0,3592;0,0069;0,0004;0,0;4;0,0;0,02277;0,4998
0,7937;0,52955;0,01;0,13822;0,00632;laplace;1;1;0,297;dedpul_no_heur;0,47397;0,32227;0,3287;0,0129;4;0,26;0,36136;0,57899
0,9524;0,53051;0,01;0,09383;0,00632;laplace;1;1;0,37238000000000004;baseline_dedpul;0,36027;0,24891999999999997;0,25525;0,02525;4;0,1;0,2928;0,5774699999999999
0,99;0,5;0,01;0,01057;0,00632;laplace;1;1;0,0;e1_en;0,15383;0,020130000000000002;0,0225;0,0;4;0,0;0,02899;0,55986
0,99;0,5;0,01;0,01434;0,00632;laplace;1;1;0,05811;e3_en;0,10178999999999999;0,059989999999999995;0,06635;0,0;4;0,0;0,07023;0,57885
0,99;0,5;0,01;0,01228;0,00632;laplace;1;1;0,035;em_en;0,09208999999999999;0,0409;0,0464;0,0;4;0,0;0,05214;0,5798399999999999
0,9889;0,49943999999999994;0,01;0,01172;0,00632;laplace;1;1;-0,22888000000000003;dedpul_poster;0,32886;0,01143;0,0063100000000000005;0,0;4;0,0;0,04338;0,54243
0,9886;0,49928999999999996;0,01;0,01195;0,00632;laplace;1;1;-0,21744000000000002;dedpul_GMM_poster;0,32525;0,01146;0,0063100000000000005;0,0;4;0,0;0,04555;0,5313899999999999
0,9896;0,4998;0,01;0,010320000000000001;0,00632;laplace;1;1;0,01054;dedpul_hist_poster;0,07099;0,008140000000000001;0,00632;0,0;4;0,0;0,021830000000000002;0,4998
0,9852;0,49758;0,01;0,01402;0,00632;laplace;1;1;-0,73547;dedpul_no_heur_poster;0,37465;0,01211;0,0063100000000000005;0,0;4;0,0;0,06398;0,50703
0,9884;0,49918999999999997;0,01;0,01642;0,00632;laplace;1;1;0,00632;baseline_dedpul_poster;0,2698;0,03834;0,038439999999999995;0,0;4;0,0;0,08245;0,5473
0,99;0,5;0,01;0,01078;0,00632;laplace;1;1;0,00632;e1_en_poster;0,13877;0,02324;0,026260000000000002;0,0;4;0,0;0,03273;0,56708
