accuracy;accuracy_balanced;alpha;brier_score;dataset;est_alpha;estimator;log_loss;mean_poster;n_mix;n_pos;precision;random_state;real_alpha;recall;roc
0,9129;0,72487;0,95;0,07512;bank;0,8551799999999999;dedpul_no_heur;1,1565299999999998;0,85519;42023;1000;0,97344;1;0,95;0,9338;0,87982
0,90505;0,73855;0,95;0,08331000000000001;bank;0,8315899999999999;baseline_dedpul;1,31207;0,8393700000000001;42023;1000;0,97519;1;0,95;0,92355;0,87956
0,80199;0,8038;0,95;0,16988;bank;0,55543;e1_en;3,3506199999999997;0,70991;42023;1000;0,98741;1;0,95;0,80179;0,87269
0,8998200000000001;0,74256;0,95;0,08438;bank;0,79981;e3_en;1,18422;0,8296100000000001;42023;1000;0,9758;1;0,95;0,9172899999999999;0,8798
0,94184;0,60663;0,95;0,0465;bank;0,9202799999999999;em_en;0,31429;0,9202899999999999;42023;1000;0,9604600000000001;1;0,95;0,97908;0,88033
0,94934;0,50641;0,95;0,04038;bank;0,9516899999999999;dedpul_poster;0,14567;0,95;42023;1000;0,9506100000000001;1;0,95;0,99855;0,8801200000000001
0,94855;0,5193;0,95;0,040389999999999995;bank;0,95219;dedpul_GMM_poster;0,14565999999999998;0,95;42023;1000;0,95185;1;0,95;0,99624;0,88013
0,95;0,5;0,95;0,040369999999999996;bank;0,95057;dedpul_hist_poster;0,14575;0,95001;42023;1000;0,95;1;0,95;1,0;0,87866
0,94934;0,50641;0,95;0,04038;bank;0,9517100000000001;dedpul_no_heur_poster;0,14564000000000002;0,95;42023;1000;0,9506100000000001;1;0,95;0,99855;0,88018
0,94934;0,50641;0,95;0,04038;bank;0,9516899999999999;baseline_dedpul_poster;0,14567;0,95;42023;1000;0,9506100000000001;1;0,95;0,99855;0,8801200000000001
0,9477;0,54771;0,95;0,04239;bank;0,95;e1_en_poster;0,21331;0,9481200000000001;42023;1000;0,9545899999999999;1;0,95;0,99213;0,8803200000000001
0,9477;0,54771;0,95;0,04239;bank;0,95;e3_en_poster;0,21331;0,9481200000000001;42023;1000;0,9545899999999999;1;0,95;0,99213;0,8803200000000001
0,9477;0,54771;0,95;0,04239;bank;0,95;em_en_poster;0,21331;0,9481200000000001;42023;1000;0,9545899999999999;1;0,95;0,99213;0,8803200000000001
;;0,95;;bank;0,8675;tice+ntc;;;42023;1000;;1;0,95;;
0,95;0,5;0,95;0,04811;bank;0,95;nnre_sigmoid;0,23269;0,99426;42023;1000;0,95;1;0,95;1,0;0,81066
0,9496;0,50452;0,95;0,041960000000000004;bank;0,95;nnre_brier;0,15953;0,9430200000000001;42023;1000;0,9504299999999999;1;0,95;0,99905;0,83742
0,9146700000000001;0,7239899999999999;0,95;0,062;bank;0,8807200000000001;dedpul;0,5103800000000001;0,8807299999999999;42023;1000;0,9733;2;0,95;0,93585;0,8861399999999999
0,9096200000000001;0,7368899999999999;0,95;0,06742000000000001;bank;0,8716;dedpul_GMM;0,5643600000000001;0,87161;42023;1000;0,9748700000000001;2;0,95;0,92881;0,88615
0,9070299999999999;0,74274;0,95;0,068;bank;0,8718799999999999;dedpul_hist;0,83885;0,8718899999999999;42023;1000;0,9756;2;0,95;0,9252799999999999;0,88536
0,91459;0,72418;0,95;0,06209;bank;0,8805200000000001;dedpul_no_heur;0,51142;0,8805299999999999;42023;1000;0,9733200000000001;2;0,95;0,93575;0,88626
0,90179;0,75261;0,95;0,08778999999999999;bank;0,82867;baseline_dedpul;1,34209;0,8399;42023;1000;0,9768700000000001;2;0,95;0,91837;0,88538
0,8393;0,80179;0,95;0,14106;bank;0,61692;e1_en;2,9977;0,7552800000000001;42023;1000;0,98525;2;0,95;0,84347;0,8810399999999999
