accuracy;accuracy_balanced;alpha;balanced_brier_score;brier_score;dataset;est_alpha;estimator;log_loss;mean_poster;n_mix;n_pos;precision;random_state;real_alpha;recall;roc
0,9758100000000001;0,8165;0,95;;0,0176;spambase;0,95;e1_en;0,09292;0,95391;2935;1666;0,9812299999999999;3;0,94991;0,99354;0,98582
0,9758100000000001;0,8165;0,95;;0,0176;spambase;0,95;e3_en;0,09292;0,95391;2935;1666;0,9812299999999999;3;0,94991;0,99354;0,98582
0,9758100000000001;0,8165;0,95;;0,0176;spambase;0,95;em_en;0,09292;0,95391;2935;1666;0,9812299999999999;3;0,94991;0,99354;0,98582
0,97751;0,83673;0,95;;0,01819;spambase;0,95325;dedpul;0,15034;0,95001;2935;1666;0,98331;4;0,94991;0,99319;0,9806799999999999
0,97751;0,83673;0,95;;0,01819;spambase;0,95325;random_dedpul;0,15034;0,95001;2935;1666;0,98331;4;0,94991;0,99319;0,9806799999999999
0,97751;0,83673;0,95;;0,01819;spambase;0,95325;baseline_dedpul;0,15034;0,95001;2935;1666;0,98331;4;0,94991;0,99319;0,9806799999999999
0,9771700000000001;0,83011;0,95;;0,018369999999999997;spambase;0,95;e1_en;0,1613;0,9527200000000001;2935;1666;0,98262;4;0,94991;0,99354;0,9816
0,9771700000000001;0,83011;0,95;;0,018369999999999997;spambase;0,95;e3_en;0,1613;0,9527200000000001;2935;1666;0,98262;4;0,94991;0,99354;0,9816
0,9771700000000001;0,83011;0,95;;0,018369999999999997;spambase;0,95;em_en;0,1613;0,9527200000000001;2935;1666;0,98262;4;0,94991;0,99354;0,9816
0,9758100000000001;0,8165;0,95;;0,01815;spambase;0,95088;dedpul;0,09429;0,95;2935;1666;0,9812299999999999;5;0,94991;0,99354;0,9871200000000001
0,9758100000000001;0,8165;0,95;;0,01815;spambase;0,95088;random_dedpul;0,09429;0,95;2935;1666;0,9812299999999999;5;0,94991;0,99354;0,9871200000000001
0,9758100000000001;0,8165;0,95;;0,01815;spambase;0,95088;baseline_dedpul;0,09429;0,95;2935;1666;0,9812299999999999;5;0,94991;0,99354;0,9871200000000001
0,9751299999999999;0,81614;0,95;;0,01828;spambase;0,95;e1_en;0,1367;0,95304;2935;1666;0,98121;5;0,94991;0,9928299999999999;0,9869899999999999
0,9751299999999999;0,81614;0,95;;0,01828;spambase;0,95;e3_en;0,1367;0,95304;2935;1666;0,98121;5;0,94991;0,9928299999999999;0,9869899999999999
