accuracy;accuracy_balanced;alpha;brier_score;dataset;est_alpha;estimator;log_loss;mean_poster;n_mix;n_pos;precision;random_state;real_alpha;recall;roc
0,78525;0,58917;0,75;0,14242;bank;0,8168;em_en;0,50481;0,81681;4000;1000;0,7857;7;0,75;0,9813299999999999;0,8442200000000001
0,76475;0,7685;0,75;0,16517;bank;0,61287;dedpul;1,33728;0,61288;4000;1000;0,91065;8;0,75;0,7609999999999999;0,83906
0,76475;0,7685;0,75;0,16517;bank;0,61287;random_dedpul;1,33728;0,61288;4000;1000;0,91065;8;0,75;0,7609999999999999;0,83906
0,812;0,7603300000000001;0,75;0,14852;bank;0,66362;baseline_dedpul;0,8057;0,65258;4000;1000;0,8830899999999999;8;0,75;0,86367;0,83988
0,7015;0,74667;0,75;0,2298;bank;0,36703;e1_en;3,4157599999999997;0,48216000000000003;4000;1000;0,92355;8;0,75;0,65633;0,8314600000000001
0,8165;0,7386699999999999;0,75;0,13663;bank;0,69289;e3_en;0,768;0,68776;4000;1000;0,8654799999999999;8;0,75;0,89433;0,84067
0,81275;0,75583;0,75;0,14167000000000002;bank;0,66268;em_en;0,8490700000000001;0,66269;4000;1000;0,87934;8;0,75;0,86967;0,8408100000000001
0,8075;0,77367;0,75;0,14758;bank;0,63321;dedpul;1,6153600000000001;0,63322;4000;1000;0,8956700000000001;9;0,75;0,8413299999999999;0,84849
0,8075;0,77367;0,75;0,14758;bank;0,63321;random_dedpul;1,6153600000000001;0,63322;4000;1000;0,8956700000000001;9;0,75;0,8413299999999999;0,84849
0,823;0,72433;0,75;0,13085;bank;0,71918;baseline_dedpul;0,71927;0,70368;4000;1000;0,8539200000000001;9;0,75;0,9216700000000001;0,8501799999999999
0,68425;0,7465;0,75;0,23521;bank;0,30843000000000004;e1_en;3,2808699999999997;0,46263999999999994;4000;1000;0,93534;9;0,75;0,622;0,84124
0,82425;0,7565;0,75;0,13558;bank;0,6561;e3_en;0,72885;0,67056;4000;1000;0,8759399999999999;9;0,75;0,892;0,8498899999999999
0,80375;0,65183;0,75;0,13117;bank;0,7661600000000001;em_en;0,50488;0,76617;4000;1000;0,81472;9;0,75;0,95567;0,8499899999999999
0,7685;0,7685;0,5;0,16931;bank;0,42941;dedpul;0,8529899999999999;0,42941999999999997;4000;1000;0,77012;0;0,5;0,7655;0,8368899999999999
0,7685;0,7685;0,5;0,16931;bank;0,42941;random_dedpul;0,8529899999999999;0,42941999999999997;4000;1000;0,77012;0;0,5;0,7655;0,8368899999999999
0,7685;0,7685;0,5;0,1649;bank;0,47328000000000003;baseline_dedpul;0,72958;0,46603;4000;1000;0,76453;0;0,5;0,7759999999999999;0,8372
0,711;0,711;0,5;0,2049;bank;0,23928000000000002;e1_en;2,46074;0,31446;4000;1000;0,83868;0;0,5;0,5225;0,82791
0,75975;0,75975;0,5;0,17112;bank;0,5928899999999999;e3_en;0,6499;0,55653;4000;1000;0,71619;0;0,5;0,8605;0,8377399999999999
0,754;0,754;0,5;0,17523;bank;0,39657;em_en;1,2929700000000002;0,39658000000000004;4000;1000;0,8005899999999999;0;0,5;0,6765;0,83639
0,74725;0,74725;0,5;0,18595;bank;0,40476;dedpul;2,0122;0,40476999999999996;4000;1000;0,78567;1;0,5;0,68;0,8196100000000001
0,74725;0,74725;0,5;0,18595;bank;0,40476;random_dedpul;2,0122;0,40476999999999996;4000;1000;0,78567;1;0,5;0,68;0,8196100000000001
0,74775;0,74775;0,5;0,18076;bank;0,45415;baseline_dedpul;1,6908299999999998;0,43041999999999997;4000;1000;0,78201;1;0,5;0,687;0,8221700000000001
0,7155;0,7155;0,5;0,21359;bank;0,1926;e1_en;2,67097;0,31367;4000;1000;0,83154;1;0,5;0,5405;0,81528
0,7509999999999999;0,7509999999999999;0,5;0,17217000000000002;bank;0,5291899999999999;e3_en;0,63646;0,5250199999999999;4000;1000;0,73049;1;0,5;0,7955;0,8253
0,75375;0,75375;0,5;0,17110999999999998;bank;0,49526000000000003;em_en;0,6899;0,49527;4000;1000;0,7491399999999999;1;0,5;0,763;0,82532
