accuracy;accuracy_balanced;alpha;brier_score;cons_alpha;distribution;dmu;ds;est_alpha;estimator;log_loss;mae;mean_poster;precision;random_state;recall;rmse;roc
0,9048;0,49656999999999996;0,01;0,0615;0,00632;laplace;1;1;0,42948000000000003;baseline_dedpul;0,41831999999999997;0,11560999999999999;0,1136;0,00922;7;0,08;0,22759000000000001;0,4902
0,99;0,5;0,01;0,01285;0,00632;laplace;1;1;0,0;e1_en;0,28181999999999996;0,0241;0,022080000000000002;0,0;7;0,0;0,054029999999999995;0,48603999999999997
0,99;0,5;0,01;0,015080000000000001;0,00632;laplace;1;1;0,044789999999999996;e3_en;0,12861;0,04827;0,051379999999999995;0,0;7;0,0;0,07311000000000001;0,43281000000000003
0,99;0,5;0,01;0,013340000000000001;0,00632;laplace;1;1;0,013999999999999999;em_en;0,22725;0,0287;0,02742;0,0;7;0,0;0,058710000000000005;0,47741000000000006
0,99;0,5;0,01;0,0108;0,00632;laplace;1;1;0,01025;dedpul;0,3048;0,014740000000000001;0,01025;0,0;8;0,0;0,03281;0,51352
0,99;0,5;0,01;0,0108;0,00632;laplace;1;1;0,01025;random_dedpul;0,3048;0,014740000000000001;0,01025;0,0;8;0,0;0,03281;0,51352
0,99;0,5;0,01;0,0241;0,00632;laplace;1;1;0,1974;baseline_dedpul;0,23067;0,09615;0,09804;0,0;8;0,0;0,12269000000000001;0,50974
0,99;0,5;0,01;0,0108;0,00632;laplace;1;1;0,0026;e1_en;0,20071;0,02046;0,01765;0,0;8;0,0;0,03572;0,56724
0,99;0,5;0,01;0,01372;0,00632;laplace;1;1;0,05922;e3_en;0,12653;0,05035;0,05475;0,0;8;0,0;0,06688;0,52057
0,99;0,5;0,01;0,01201;0,00632;laplace;1;1;0,03492;em_en;0,18012;0,034960000000000005;0,03493;0,0;8;0,0;0,05145;0,53408
0,99;0,5;0,01;0,01445;0,00632;laplace;1;1;0,04097;dedpul;0,18256;0,0377;0,04098;0,0;9;0,0;0,07059;0,64461
0,99;0,5;0,01;0,01445;0,00632;laplace;1;1;0,04097;random_dedpul;0,18256;0,0377;0,04098;0,0;9;0,0;0,07059;0,64461
0,9888;0,49938999999999995;0,01;0,032330000000000005;0,00632;laplace;1;1;0,19083;baseline_dedpul;0,20799;0,10634;0,11197;0,0;9;0,0;0,15283;0,65179
0,99;0,5;0,01;0,01339;0,00632;laplace;1;1;0,0;e1_en;0,17643;0,02999;0,032260000000000004;0,0;9;0,0;0,06205;0,64217
0,99;0,5;0,01;0,0182;0,00632;laplace;1;1;0,06745;e3_en;0,11420999999999999;0,06423;0,07062;0,0;9;0,0;0,09439;0,6452399999999999
0,99;0,5;0,01;0,01762;0,00632;laplace;1;1;0,062;em_en;0,12155999999999999;0,05943;0,06565;0,0;9;0,0;0,09109;0,64564
0,9396;0,52105;0,05;0,05555;0,03161;laplace;1;1;0,05624;dedpul;0,68179;0,0277;0,05625;0,175;0;0,055999999999999994;0,10226;0,6656
0,9396;0,52105;0,05;0,05555;0,03161;laplace;1;1;0,05624;random_dedpul;0,68179;0,0277;0,05625;0,175;0;0,055999999999999994;0,10226;0,6656
0,9388;0,5282100000000001;0,05;0,09436;0,03161;laplace;1;1;0,29264;baseline_dedpul;0,46108000000000005;0,20901;0,24039000000000002;0,19565;0;0,07200000000000001;0,23471999999999998;0,6553100000000001
0,9452;0,50126;0,05;0,052539999999999996;0,03161;laplace;1;1;0,01018;e1_en;0,63881;0,02908;0,05901;0,07143;0;0,008;0,07388;0,66843
0,9404;0,52147;0,05;0,06935;0,03161;laplace;1;1;0,16934000000000002;e3_en;0,32915;0,13978;0,17115;0,18420999999999998;0;0,055999999999999994;0,16159;0,66363
0,9368;0,5271600000000001;0,05;0,07945;0,03161;laplace;1;1;0,20851;em_en;0,33925;0,17715;0,20851999999999998;0,17647000000000002;0;0,07200000000000001;0,19399999999999998;0,6634399999999999
0,9252;0,5362100000000001;0,05;0,05869;0,03161;laplace;1;1;0,03123;dedpul;1,38686;0,04716;0,03123;0,14773;1;0,10400000000000001;0,12074000000000001;0,59847
0,9252;0,5362100000000001;0,05;0,05869;0,03161;laplace;1;1;0,03123;random_dedpul;1,38686;0,04716;0,03123;0,14773;1;0,10400000000000001;0,12074000000000001;0,59847
0,922;0,5421100000000001;0,05;0,05993;0,03161;laplace;1;1;0,2055;baseline_dedpul;0,64928;0,04347;0,06667999999999999;0,15;1;0,12;0,13045;0,7207399999999999
0,948;0,50274;0,05;0,048139999999999995;0,03161;laplace;1;1;0,00119;e1_en;0,75208;0,02529;0,02632;0,14286;1;0,008;0,05315;0,6913100000000001
0,948;0,50274;0,05;0,047560000000000005;0,03161;laplace;1;1;0,05632;e3_en;0,20207;0,029419999999999998;0,056389999999999996;0,14286;1;0,008;0,057460000000000004;0,72133
