distribution;estimator;random_state;dmu;ds;alpha;cons_alpha;est_alpha;mean_poster;accuracy;roc;mae;rmse;log_loss;precision;recall;accuracy_balanced;brier_score
laplace;e1_en;7;1;1;0,01;0,00632;0,00632;0,02161;0,9896;0,45185;0,02356;0,05012;0,28057;0,0;0,0;0,4998;0,01248
laplace;e3_en;7;1;1;0,01;0,00632;0,00632;0,02161;0,9896;0,45185;0,02356;0,05012;0,28057;0,0;0,0;0,4998;0,01248
laplace;em_en;7;1;1;0,01;0,00632;0,00632;0,02161;0,9896;0,45185;0,02356;0,05012;0,28057;0,0;0,0;0,4998;0,01248
laplace;dedpul;8;1;1;0,01;0,00632;-0,13275;0,00632;0,99;0,5383399999999999;0,010879999999999999;0,02514;0,30288000000000004;0,0;0,0;0,5;0,01053
laplace;random_dedpul;8;1;1;0,01;0,00632;-0,13275;0,00632;0,99;0,5383399999999999;0,010879999999999999;0,02514;0,30288000000000004;0,0;0,0;0,5;0,01053
laplace;baseline_dedpul;8;1;1;0,01;0,00632;0,00632;0,0161;0,99;0,55003;0,0203;0,053520000000000005;0,29807;0,0;0,0;0,5;0,01257
laplace;e1_en;8;1;1;0,01;0,00632;0,00632;0,02059;0,99;0,60112;0,02077;0,03898;0,18996;0,0;0,0;0,5;0,01111
laplace;e3_en;8;1;1;0,01;0,00632;0,00632;0,02059;0,99;0,60112;0,02077;0,03898;0,18996;0,0;0,0;0,5;0,01111
laplace;em_en;8;1;1;0,01;0,00632;0,00632;0,02059;0,99;0,60112;0,02077;0,03898;0,18996;0,0;0,0;0,5;0,01111
laplace;dedpul;9;1;1;0,01;0,00632;-0,13618;0,00632;0,9856;0,58941;0,011309999999999999;0,0662;0,34299999999999997;0,0;0,0;0,49778;0,01425
laplace;random_dedpul;9;1;1;0,01;0,00632;-0,13618;0,00632;0,9856;0,58941;0,011309999999999999;0,0662;0,34299999999999997;0,0;0,0;0,49778;0,01425
laplace;baseline_dedpul;9;1;1;0,01;0,00632;0,00632;0,03636;0,9856;0,61017;0,0358;0,08664;0,31251999999999996;0,0;0,0;0,49778;0,01699
laplace;e1_en;9;1;1;0,01;0,00632;0,00632;0,031180000000000003;0,99;0,64085;0,02924;0,062079999999999996;0,17649;0,0;0,0;0,5;0,013359999999999999
laplace;e3_en;9;1;1;0,01;0,00632;0,00632;0,031180000000000003;0,99;0,64085;0,02924;0,062079999999999996;0,17649;0,0;0,0;0,5;0,013359999999999999
laplace;em_en;9;1;1;0,01;0,00632;0,00632;0,031180000000000003;0,99;0,64085;0,02924;0,062079999999999996;0,17649;0,0;0,0;0,5;0,013359999999999999
laplace;dedpul;0;1;1;0,05;0,03161;-0,35553;0,03161;0,9420000000000001;0,58089;0,03477;0,08176;1,28736;0,1875;0,048;0,51853;0,05297
laplace;random_dedpul;0;1;1;0,05;0,03161;-0,35553;0,03161;0,9420000000000001;0,58089;0,03477;0,08176;1,28736;0,1875;0,048;0,51853;0,05297
laplace;baseline_dedpul;0;1;1;0,05;0,03161;0,03161;0,06358;0,9364;0,64357;0,06269;0,13758;0,96373;0,16;0,064;0,5231600000000001;0,06577000000000001
laplace;e1_en;0;1;1;0,05;0,03161;0,03161;0,07361000000000001;0,9436;0,6601899999999999;0,04224;0,08637;0,6047600000000001;0,1;0,016;0,50421;0,05409
laplace;e3_en;0;1;1;0,05;0,03161;0,03161;0,07361000000000001;0,9436;0,6601899999999999;0,04224;0,08637;0,6047600000000001;0,1;0,016;0,50421;0,05409
laplace;em_en;0;1;1;0,05;0,03161;0,03161;0,07361000000000001;0,9436;0,6601899999999999;0,04224;0,08637;0,6047600000000001;0,1;0,016;0,50421;0,05409
laplace;dedpul;1;1;1;0,05;0,03161;-0,01335;0,0316;0,9244;0,604;0,04765;0,12544;1,33345;0,11905;0,08;0,52442;0,05998
laplace;random_dedpul;1;1;1;0,05;0,03161;-0,01335;0,0316;0,9244;0,604;0,04765;0,12544;1,33345;0,11905;0,08;0,52442;0,05998
laplace;baseline_dedpul;1;1;1;0,05;0,03161;0,03161;0,03559;0,924;0,6109600000000001;0,04665;0,1268;1,27653;0,13483;0,096;0,53179;0,06018
laplace;e1_en;1;1;1;0,05;0,03161;0,03161;0,041139999999999996;0,9492;0,7296199999999999;0,0197;0,047369999999999995;0,35236;0,0;0,0;0,49958;0,04698
laplace;e3_en;1;1;1;0,05;0,03161;0,03161;0,041139999999999996;0,9492;0,7296199999999999;0,0197;0,047369999999999995;0,35236;0,0;0,0;0,49958;0,04698
laplace;em_en;1;1;1;0,05;0,03161;0,03161;0,041139999999999996;0,9492;0,7296199999999999;0,0197;0,047369999999999995;0,35236;0,0;0,0;0,49958;0,04698
laplace;dedpul;2;1;1;0,05;0,03161;0,11825999999999999;0,0316;0,9488;0,7038800000000001;0,02373;0,04898;0,6096600000000001;0,2;0,008;0,50316;0,04818
laplace;random_dedpul;2;1;1;0,05;0,03161;0,11825999999999999;0,0316;0,9488;0,7038800000000001;0,02373;0,04898;0,6096600000000001;0,2;0,008;0,50316;0,04818
laplace;baseline_dedpul;2;1;1;0,05;0,03161;0,03161;0,01346;0,95;0,56762;0,0291;0,05131;1,38858;0,0;0,0;0,5;0,04908
laplace;e1_en;2;1;1;0,05;0,03161;0,03161;0,03383;0,95;0,72731;0,013640000000000001;0,02416;0,31831;0,0;0,0;0,5;0,04643
laplace;e3_en;2;1;1;0,05;0,03161;0,03161;0,03383;0,95;0,72731;0,013640000000000001;0,02416;0,31831;0,0;0,0;0,5;0,04643
laplace;em_en;2;1;1;0,05;0,03161;0,03161;0,03383;0,95;0,72731;0,013640000000000001;0,02416;0,31831;0,0;0,0;0,5;0,04643
laplace;dedpul;3;1;1;0,05;0,03161;-0,13962;0,03161;0,9456;0,5647399999999999;0,03398;0,08068;1,3280299999999998;0,0;0,0;0,49768;0,05532
laplace;random_dedpul;3;1;1;0,05;0,03161;-0,13962;0,03161;0,9456;0,5647399999999999;0,03398;0,08068;1,3280299999999998;0,0;0,0;0,49768;0,05532
laplace;baseline_dedpul;3;1;1;0,05;0,03161;0,03161;0,051820000000000005;0,9456;0,57806;0,04799;0,10536;1,26562;0,0;0,0;0,49768;0,06037000000000001
laplace;e1_en;3;1;1;0,05;0,03161;0,03161;0,06518;0,9472;0,68667;0,033569999999999996;0,07406;0,51297;0,0;0,0;0,49853000000000003;0,05245
laplace;e3_en;3;1;1;0,05;0,03161;0,03161;0,06518;0,9472;0,68667;0,033569999999999996;0,07406;0,51297;0,0;0,0;0,49853000000000003;0,05245
laplace;em_en;3;1;1;0,05;0,03161;0,03161;0,06518;0,9472;0,68667;0,033569999999999996;0,07406;0,51297;0,0;0,0;0,49853000000000003;0,05245
laplace;dedpul;4;1;1;0,05;0,03161;-0,05112;0,03162;0,95;0,59131;0,03095;0,051629999999999995;1,0717700000000001;0,0;0,0;0,5;0,04887
laplace;random_dedpul;4;1;1;0,05;0,03161;-0,05112;0,03162;0,95;0,59131;0,03095;0,051629999999999995;1,0717700000000001;0,0;0,0;0,5;0,04887
laplace;baseline_dedpul;4;1;1;0,05;0,03161;0,03161;0,05541;0,95;0,6195;0,044910000000000005;0,07392;0,80003;0,0;0,0;0,5;0,051160000000000004
laplace;e1_en;4;1;1;0,05;0,03161;0,03161;0,0385;0,95;0,63788;0,02765;0,036430000000000004;0,31579;0,0;0,0;0,5;0,04709
laplace;e3_en;4;1;1;0,05;0,03161;0,03161;0,0385;0,95;0,63788;0,02765;0,036430000000000004;0,31579;0,0;0,0;0,5;0,04709
laplace;em_en;4;1;1;0,05;0,03161;0,03161;0,0385;0,95;0,63788;0,02765;0,036430000000000004;0,31579;0,0;0,0;0,5;0,04709
laplace;dedpul;5;1;1;0,05;0,03161;0,08288;0,03161;0,95;0,6832199999999999;0,01964;0,031110000000000002;0,6785;0,0;0,0;0,5;0,04684
laplace;random_dedpul;5;1;1;0,05;0,03161;0,08288;0,03161;0,95;0,6832199999999999;0,01964;0,031110000000000002;0,6785;0,0;0,0;0,5;0,04684
laplace;baseline_dedpul;5;1;1;0,05;0,03161;0,03161;0,0123;0,95;0,6856300000000001;0,02458;0,0396;0,7288399999999999;0,0;0,0;0,5;0,04805
laplace;e1_en;5;1;1;0,05;0,03161;0,03161;0,0324;0,95;0,68142;0,02049;0,02773;0,36093000000000003;0,0;0,0;0,5;0,04664
laplace;e3_en;5;1;1;0,05;0,03161;0,03161;0,0324;0,95;0,68142;0,02049;0,02773;0,36093000000000003;0,0;0,0;0,5;0,04664
laplace;em_en;5;1;1;0,05;0,03161;0,03161;0,0324;0,95;0,68142;0,02049;0,02773;0,36093000000000003;0,0;0,0;0,5;0,04664
laplace;dedpul;6;1;1;0,05;0,03161;-0,02756;0,03161;0,95;0,63284;0,02298;0,03859;0,6055;0,0;0,0;0,5;0,04749
laplace;random_dedpul;6;1;1;0,05;0,03161;-0,02756;0,03161;0,95;0,63284;0,02298;0,03859;0,6055;0,0;0,0;0,5;0,04749
laplace;baseline_dedpul;6;1;1;0,05;0,03161;0,03161;0,06382;0,95;0,63135;0,044860000000000004;0,06056;0,5269;0,0;0,0;0,5;0,04857
laplace;e1_en;6;1;1;0,05;0,03161;0,03161;0,04727;0,95;0,64036;0,03444;0,041819999999999996;0,33921;0,0;0,0;0,5;0,04713
laplace;e3_en;6;1;1;0,05;0,03161;0,03161;0,04727;0,95;0,64036;0,03444;0,041819999999999996;0,33921;0,0;0,0;0,5;0,04713
laplace;em_en;6;1;1;0,05;0,03161;0,03161;0,04727;0,95;0,64036;0,03444;0,041819999999999996;0,33921;0,0;0,0;0,5;0,04713
laplace;dedpul;7;1;1;0,05;0,03161;0,09162999999999999;0,0316;0,9484;0,47073999999999994;0,04792;0,07775;0,70918;0,16667;0,008;0,50295;0,05065
laplace;random_dedpul;7;1;1;0,05;0,03161;0,09162999999999999;0,0316;0,9484;0,47073999999999994;0,04792;0,07775;0,70918;0,16667;0,008;0,50295;0,05065
laplace;baseline_dedpul;7;1;1;0,05;0,03161;0,03161;0,00672;0,9484;0,51034;0,037160000000000006;0,0771;1,53495;0,16667;0,008;0,50295;0,05156
